,ID do pedido/ajuste,Valor total a ser liquidado,Data do demonstrativo
136,582650927977891677,33.06,2026/02/27
137,582650925563348783,23.26,2026/02/27
138,582650682453886450,33.06,2026/02/27
139,582650569014871677,30.66,2026/02/27
140,582649988362896704,29.36,2026/02/27
141,582646536880424722,30.66,2026/02/27
142,582639811328050873,15.41,2026/02/27
143,582639811328050873,15.41,2026/02/27
144,582639811328050873,15.41,2026/02/27
145,582639811328050873,15.41,2026/02/27
146,582639374431192496,15.41,2026/02/27
147,582639374431192496,15.41,2026/02/27
148,582639374431192496,14.9,2026/02/27
149,582639374431192496,15.41,2026/02/27
150,582639374431192496,15.42,2026/02/27
151,582638948549362854,15.4,2026/02/27
152,582638715660108920,30.14,2026/02/27
153,582638173853026070,15.07,2026/02/27
154,582638173853026070,15.58,2026/02/27
155,582638124400084051,15.4,2026/02/27
156,582638081435075869,15.92,2026/02/27
157,582637711575975110,15.92,2026/02/27
158,582637399250274020,15.07,2026/02/27
159,582637399250274020,15.58,2026/02/27
160,582637356546885222,15.58,2026/02/27
161,582637356546885222,15.07,2026/02/27
162,582635355741586683,15.58,2026/02/27
163,582635355741586683,15.57,2026/02/27
164,582633251724297271,17.05,2026/02/27
165,582632662981576042,30.56,2026/02/27
166,582630335095866601,-11.34,2026/02/27
167,582623189210006994,28.13,2026/02/27
168,582623189210006994,28.12,2026/02/27
169,582622139318568925,15.88,2026/02/27
170,582621943116629373,15.88,2026/02/27
171,582621708103877769,30.66,2026/02/27
172,582621601535526422,15.88,2026/02/27
173,582610625266026068,9.59,2026/02/27
174,582607001789040158,31.86,2026/02/27
175,582606750215931409,55.93,2026/02/27
176,582606231370892339,28.56,2026/02/27
177,582603151789754304,-12.0,2026/02/27
178,582591462095815746,26.72,2026/02/27
179,582591462095815746,26.73,2026/02/27
180,582577316336403910,-13.2,2026/02/27
181,582574331171931625,33.06,2026/02/27
182,582569104495903863,15.34,2026/02/27
183,582569104495903863,15.35,2026/02/27
184,582569104495903863,15.34,2026/02/27
185,582569104495903863,15.34,2026/02/27
186,582569104495903863,15.35,2026/02/27
187,582566101877360332,15.52,2026/02/27
188,582566101877360332,15.52,2026/02/27
189,582552759148709618,36.57,2026/02/27
190,582551952022406210,17.64,2026/02/27
191,582551926201287746,15.88,2026/02/27
192,582551154049647628,0.0,2026/02/27
193,582499446426273687,31.79,2026/02/27
194,582498353614783655,31.79,2026/02/27
195,582490487208773419,35.32,2026/02/27
196,582471197324117435,-2.28,2026/02/27
197,582466073736807802,5.7,2026/02/27
198,582434823955908280,6.29,2026/02/27
199,7610887633901176583,9.18,2026/02/26
200,7610870487154132743,39.42,2026/02/26
201,582727601389012572,-2.37,2026/02/26
202,582717801303672827,-8.95,2026/02/26
203,582684196507125184,33.06,2026/02/26
204,582682924509135872,66.89,2026/02/26
205,582682594950874516,62.65,2026/02/26
206,582681507200599084,9.0,2026/02/26
207,582680213642053372,-9.6,2026/02/26
208,582680213639104057,-9.6,2026/02/26
209,582680213638252471,-10.8,2026/02/26
210,582680213637006875,-9.6,2026/02/26
211,582680213636613155,-7.2,2026/02/26
212,582680213636417256,-12.0,2026/02/26
213,582680213629470560,-10.8,2026/02/26
214,582680975472428687,-9.6,2026/02/26
215,582680206952990268,9.11,2026/02/26
216,582679952752936721,31.86,2026/02/26
217,582679896369956617,10.15,2026/02/26
218,582668773951637367,31.86,2026/02/26
219,582667787707123566,7.71,2026/02/26
220,582666642112087720,33.06,2026/02/26
221,582666404124919579,26.66,2026/02/26
222,582666404124919579,26.67,2026/02/26
223,582666374415680914,7.71,2026/02/26
224,582666301890463526,31.86,2026/02/26
225,582666228400097257,31.86,2026/02/26
226,582666185129887172,36.74,2026/02/26
227,582665575876953983,35.54,2026/02/26
228,582665343095572042,31.86,2026/02/26
229,582665244375222079,27.26,2026/02/26
230,582665214499784195,33.06,2026/02/26
231,582665201915495609,36.74,2026/02/26
232,582665185473692857,36.74,2026/02/26
233,582665148315174407,31.86,2026/02/26
234,582664887550838017,31.86,2026/02/26
235,582664386752972415,31.86,2026/02/26
236,582663172063986851,34.02,2026/02/26
237,582663104967444368,15.88,2026/02/26
238,582660461212042765,-9.6,2026/02/26
239,582661440704185377,-12.0,2026/02/26
240,582660461210010753,-7.2,2026/02/26
241,582660461191399102,-13.2,2026/02/26
242,582661440683214831,-4.43,2026/02/26
243,582661440683214831,-2.77,2026/02/26
244,582660461164332595,-9.6,2026/02/26
245,582661440641140302,-13.2,2026/02/26
246,582660461169313531,-9.6,2026/02/26
247,582660461168592222,-9.6,2026/02/26
248,582660461162759930,-10.8,2026/02/26
249,582661440650314966,-7.2,2026/02/26
250,582660461167674497,-7.2,2026/02/26
251,582661440639371053,-12.0,2026/02/26
252,582661440459343386,-16.73,2026/02/26
253,582661440459343386,-2.79,2026/02/26
254,582661440459343386,-5.58,2026/02/26
255,582661856600884616,35.44,2026/02/26
256,582661643418043784,31.76,2026/02/26
257,582661069930071579,34.02,2026/02/26
258,582659782472271680,27.26,2026/02/26
259,582658772092684167,17.05,2026/02/26
260,582653980677735923,14.2,2026/02/26
261,582652487872644453,15.34,2026/02/26
262,582652494597948922,15.4,2026/02/26
263,582652290146337821,15.4,2026/02/26
264,582651555929687917,31.86,2026/02/26
265,582651558799902096,33.06,2026/02/26
266,582651516139832596,29.46,2026/02/26
267,582651465164293164,31.86,2026/02/26
268,582651389660857821,31.86,2026/02/26
269,582651211378951303,30.66,2026/02/26
270,582651207644251885,32.33,2026/02/26
271,582651207644251885,32.32,2026/02/26
272,582650988470831064,30.56,2026/02/26
273,582650895488484947,30.66,2026/02/26
274,582650340450534429,15.4,2026/02/26
275,582650092632508147,29.74,2026/02/26
276,582649781072200762,15.4,2026/02/26
277,582648240059811314,-37.2,2026/02/26
278,582648089561433304,30.14,2026/02/26
279,582647632433284303,49.28,2026/02/26
280,582646789693408424,24.86,2026/02/26
281,582646797530924260,15.4,2026/02/26
282,582645111252682203,15.4,2026/02/26
283,582644841466201650,30.82,2026/02/26
284,582644841466201650,30.82,2026/02/26
285,582644841466201650,30.82,2026/02/26
286,582644736244352716,15.58,2026/02/26
287,582644736244352716,15.57,2026/02/26
288,582640737145422907,15.07,2026/02/26
289,582640737145422907,15.58,2026/02/26
290,582640447483970756,15.07,2026/02/26
291,582640447483970756,15.58,2026/02/26
292,582640238393591124,15.4,2026/02/26
293,582640017332733643,17.05,2026/02/26
294,582639107246425515,15.92,2026/02/26
295,582638535524517767,15.4,2026/02/26
296,582638380444583863,15.07,2026/02/26
297,582638380444583863,15.58,2026/02/26
298,582638225158014666,15.4,2026/02/26
299,582638089299592979,15.58,2026/02/26
300,582638089299592979,15.57,2026/02/26
301,582637783874766567,15.07,2026/02/26
302,582637783874766567,15.58,2026/02/26
303,582637536635160161,17.3,2026/02/26
304,582637536635160161,17.29,2026/02/26
305,582637521271031505,15.41,2026/02/26
306,582637521271031505,30.82,2026/02/26
307,582637521271031505,30.82,2026/02/26
308,582637521271031505,14.91,2026/02/26
309,582637521271031505,15.41,2026/02/26
310,582637488314091487,15.92,2026/02/26
311,582637442945877900,15.92,2026/02/26
312,582637280670222093,15.92,2026/02/26
313,582637044196411302,15.92,2026/02/26
314,582637070678722008,15.58,2026/02/26
315,582637070678722008,15.57,2026/02/26
316,582636937304115105,15.58,2026/02/26
317,582636937304115105,15.07,2026/02/26
318,582635558017860976,15.41,2026/02/26
319,582635558017860976,14.9,2026/02/26
320,582635558017860976,15.41,2026/02/26
321,582635558017860976,15.41,2026/02/26
322,582635507086558448,17.25,2026/02/26
323,582635507086558448,17.26,2026/02/26
324,582635507086558448,17.24,2026/02/26
325,582635507086558448,17.25,2026/02/26
326,582635507086558448,16.67,2026/02/26
327,582635507086558448,17.25,2026/02/26
328,582635507086558448,17.25,2026/02/26
329,582635409931732681,15.92,2026/02/26
330,582623301257823381,15.88,2026/02/26
331,582623189931755167,31.76,2026/02/26
332,582622885571037125,26.96,2026/02/26
333,582622604028904912,31.86,2026/02/26
334,582621927378945351,24.04,2026/02/26
335,582621867009476044,15.52,2026/02/26
336,582621867009476044,15.52,2026/02/26
337,582621712095937729,33.06,2026/02/26
338,582621643663050094,31.04,2026/02/26
339,582621643663050094,15.52,2026/02/26
340,582620151477404783,15.88,2026/02/26
341,582617559939843903,31.86,2026/02/26
342,582616928398247716,27.06,2026/02/26
343,582616009345041627,30.66,2026/02/26
344,582615631487600588,28.56,2026/02/26
345,582611824148776716,15.88,2026/02/26
346,582611254283437142,15.88,2026/02/26
347,582609968212903162,17.64,2026/02/26
348,582609690654181233,15.88,2026/02/26
349,582609399579641508,31.86,2026/02/26
350,582607278189151485,33.06,2026/02/26
351,582607052962432721,15.52,2026/02/26
352,582607052962432721,15.52,2026/02/26
353,582606960339027619,28.56,2026/02/26
354,582606741417199428,15.52,2026/02/26
355,582606741417199428,15.52,2026/02/26
356,582606606804682320,15.35,2026/02/26
357,582606606804682320,15.34,2026/02/26
358,582606606804682320,15.35,2026/02/26
359,582606606804682320,15.34,2026/02/26
360,582606410127345431,15.88,2026/02/26
361,582601981398320718,30.66,2026/02/26
362,582601634817410660,15.88,2026/02/26
363,582595165412034269,29.46,2026/02/26
364,582595036698936447,15.52,2026/02/26
365,582595036698936447,15.52,2026/02/26
366,582593956149888691,28.56,2026/02/26
367,582593861794104443,28.56,2026/02/26
368,582593835411998594,31.86,2026/02/26
369,582580426857023374,25.7,2026/02/26
370,582578328635278377,-16.29,2026/02/26
371,582570190842267430,33.06,2026/02/26
372,582568975115913076,26.06,2026/02/26
373,582551380381304334,65.64,2026/02/26
374,582551380381304334,15.52,2026/02/26
375,582551380381304334,15.52,2026/02/26
376,582539674857276641,23.21,2026/02/26
377,582523428872291656,15.34,2026/02/26
378,582523428872291656,12.76,2026/02/26
379,582523428872291656,15.35,2026/02/26
380,582523428872291656,15.34,2026/02/26
381,582494603841406401,31.79,2026/02/26
382,582486456168646355,32.91,2026/02/26
383,582472202310026884,32.91,2026/02/26
384,582441143923672540,35.76,2026/02/26
385,582441143923672540,35.75,2026/02/26
386,582422011892303401,36.49,2026/02/26
387,7610427911270614792,43.7,2026/02/25
388,7610428133839750932,43.7,2026/02/25
389,7610400040482342657,43.2,2026/02/25
390,582759663305917642,0.0,2026/02/25
391,582759599216821453,0.0,2026/02/25
392,582759421862905025,0.0,2026/02/25
393,582759447023748755,0.0,2026/02/25
394,582759232716506754,0.0,2026/02/25
395,582759228000863393,0.0,2026/02/25
396,582759135428183418,0.0,2026/02/25
397,582759131375830578,0.0,2026/02/25
398,582759115671504175,0.0,2026/02/25
399,582759028989593467,0.0,2026/02/25
400,582758868480853350,0.0,2026/02/25
401,582758828812109087,0.0,2026/02/25
402,582758796878054940,0.0,2026/02/25
403,582758569169945816,0.0,2026/02/25
404,582758476480349377,0.0,2026/02/25
405,582758370201339652,0.0,2026/02/25
406,582758406692898639,0.0,2026/02/25
407,582758318248920606,0.0,2026/02/25
408,582758249465480666,0.0,2026/02/25
409,582758174795138823,0.0,2026/02/25
410,582757086545609930,0.0,2026/02/25
411,582757021113157416,0.0,2026/02/25
412,582754536304379282,0.0,2026/02/25
413,582754309276140853,0.0,2026/02/25
414,582754179218507340,0.0,2026/02/25
415,582753513443918855,0.0,2026/02/25
416,582753233952671393,0.0,2026/02/25
417,582753248401131054,0.0,2026/02/25
418,582753082252690916,0.0,2026/02/25
419,582752879551874463,0.0,2026/02/25
420,582752762982597901,0.0,2026/02/25
421,582752001165722842,0.0,2026/02/25
422,582751881793275085,0.0,2026/02/25
423,582751727449375909,0.0,2026/02/25
424,582751655369737848,0.0,2026/02/25
425,582751135338955893,0.0,2026/02/25
426,582751120842786047,0.0,2026/02/25
427,582750894789920336,0.0,2026/02/25
428,582750460944811988,0.0,2026/02/25
429,582749775149434284,0.0,2026/02/25
430,582749775149434284,0.0,2026/02/25
431,582749775149434284,0.0,2026/02/25
432,582749775149434284,0.0,2026/02/25
433,582749775149434284,0.0,2026/02/25
434,582749344698369652,0.0,2026/02/25
435,582749237493269888,0.0,2026/02/25
436,582749165531924199,0.0,2026/02/25
437,582749163793974606,0.0,2026/02/25
438,582749142492219239,0.0,2026/02/25
439,582748993906247190,0.0,2026/02/25
440,582748450009744881,0.0,2026/02/25
441,582747642713900782,0.0,2026/02/25
442,582730466856175209,0.0,2026/02/25
443,582683436803720978,27.26,2026/02/25
444,582680213641660232,-14.5,2026/02/25
445,582680213641463103,-13.2,2026/02/25
446,582680213636810303,-18.1,2026/02/25
447,582675977952593229,31.86,2026/02/25
448,582667325630875238,31.86,2026/02/25
449,582666243349972755,9.53,2026/02/25
450,582666236596683795,31.86,2026/02/25
451,582665372457666089,31.86,2026/02/25
452,582665283088975284,7.71,2026/02/25
453,582664647930578764,27.26,2026/02/25
454,582664483550823535,29.73,2026/02/25
455,582664483550823535,44.59,2026/02/25
456,582662659641411184,-2.59,2026/02/25
457,582661440714803185,-18.1,2026/02/25
458,582661440703792329,-10.8,2026/02/25
459,582661440703464680,-7.2,2026/02/25
460,582660461211124959,-9.6,2026/02/25
461,582661440699729718,-13.2,2026/02/25
462,582660461192774902,-9.6,2026/02/25
463,582660461194282105,-9.6,2026/02/25
464,582660461191791848,-9.6,2026/02/25
465,582661440649922169,-9.6,2026/02/25
466,582660281780634749,31.86,2026/02/25
467,582659235244443460,15.4,2026/02/25
468,582652629887780044,27.26,2026/02/25
469,582650543168587261,29.36,2026/02/25
470,582650455933092935,15.4,2026/02/25
471,582649738489333126,27.26,2026/02/25
472,582644661460633060,15.58,2026/02/25
473,582644661460633060,15.07,2026/02/25
474,582644661460633060,15.58,2026/02/25
475,582644469879178542,15.92,2026/02/25
476,582638591255480208,15.4,2026/02/25
477,582637999412447088,15.4,2026/02/25
478,582637355649697334,15.81,2026/02/25
479,582637355649697334,15.82,2026/02/25
480,582637355649697334,15.81,2026/02/25
481,582637355649697334,15.31,2026/02/25
482,582637254593841150,15.92,2026/02/25
483,582637197570246615,17.05,2026/02/25
484,582637095050446807,15.92,2026/02/25
485,582637060270098162,15.34,2026/02/25
486,582637022342448286,15.4,2026/02/25
487,582636036119037636,15.4,2026/02/25
488,582635758864467183,15.4,2026/02/25
489,582635423109842701,15.4,2026/02/25
490,582633090379777541,33.06,2026/02/25
491,582606926234354799,15.88,2026/02/25
492,582606885818303648,15.88,2026/02/25
493,582606779303167284,15.52,2026/02/25
494,582606779303167284,15.52,2026/02/25
495,582579762553193596,-41.7,2026/02/25
496,582577033913402902,28.56,2026/02/25
497,582522729574729134,-96.07,2026/02/25
498,582489586830378529,16.68,2026/02/25
499,582466784534562593,32.91,2026/02/25
500,582419188400817173,5.7,2026/02/25
501,582401230875165812,0.0,2026/02/25
502,582401059472115241,36.49,2026/02/25
503,582272345690769236,34.07,2026/02/25
504,582260631786391153,-57.55,2026/02/25
505,7610172784391784213,36.49,2026/02/24
506,582747410342447086,0.0,2026/02/24
507,7610062056043661077,18.27,2026/02/24
508,7610062193384015636,18.27,2026/02/24
509,7610062064199976725,18.27,2026/02/24
510,7610062007166273301,18.27,2026/02/24
511,7610054504328202004,18.33,2026/02/24
512,582745091544090350,0.0,2026/02/24
513,582744589448546286,0.0,2026/02/24
514,582743045300192778,0.0,2026/02/24
515,582683590341461906,10.15,2026/02/24
516,582665341763421746,31.86,2026/02/24
517,582661440708118248,-7.2,2026/02/24
518,582655131085342397,35.66,2026/02/24
519,582655080685668029,31.98,2026/02/24
520,582653244369831183,17.2,2026/02/24
521,582653028038378713,15.4,2026/02/24
522,582652691968329219,-1.1,2026/02/24
523,582652551648347274,15.4,2026/02/24
524,582652499976292304,15.4,2026/02/24
525,582652507702724339,15.4,2026/02/24
526,582652323679536943,63.73,2026/02/24
527,582652354841511008,31.86,2026/02/24
528,582652264054818239,8.33,2026/02/24
529,582651750928778636,31.86,2026/02/24
530,582651715197764678,15.4,2026/02/24
531,582651266811397348,15.4,2026/02/24
532,582651169590970296,27.26,2026/02/24
533,582651122485527630,33.3,2026/02/24
534,582650951979861426,33.06,2026/02/24
535,582650959452472602,31.86,2026/02/24
536,582650974105208391,30.66,2026/02/24
537,582650937967543748,28.56,2026/02/24
538,582650933066827590,31.86,2026/02/24
539,582650821743511457,15.4,2026/02/24
540,582650663115916583,17.23,2026/02/24
541,582650463222662695,15.4,2026/02/24
542,582650449301112131,15.4,2026/02/24
543,582650098389190631,15.4,2026/02/24
544,582650003795904200,15.4,2026/02/24
545,582647468130076285,-9.6,2026/02/24
546,582648873433728584,8.44,2026/02/24
547,582648873433728584,24.65,2026/02/24
548,582648873433728584,15.06,2026/02/24
549,582647354766624128,31.86,2026/02/24
550,582647241356248473,29.36,2026/02/24
551,582647195828913195,30.01,2026/02/24
552,582646184809235636,24.65,2026/02/24
553,582646184809235636,15.06,2026/02/24
554,582646041281332495,15.4,2026/02/24
555,582644894277207876,29.46,2026/02/24
556,582644652015715356,15.57,2026/02/24
557,582644652015715356,15.58,2026/02/24
558,582644570785678658,15.92,2026/02/24
559,582644470315648101,15.07,2026/02/24
560,582644470315648101,15.58,2026/02/24
561,582644462755874763,15.58,2026/02/24
562,582644462755874763,15.57,2026/02/24
563,582644441161827876,15.58,2026/02/24
564,582644441161827876,15.07,2026/02/24
565,582644477187491790,15.41,2026/02/24
566,582644477187491790,15.41,2026/02/24
567,582644477187491790,26.31,2026/02/24
568,582644477187491790,14.91,2026/02/24
569,582644047461320033,15.58,2026/02/24
570,582644047461320033,15.07,2026/02/24
571,582644011343906267,15.4,2026/02/24
572,582643972227106423,15.92,2026/02/24
573,582641776746267944,15.4,2026/02/24
574,582640157478323403,15.58,2026/02/24
575,582640157478323403,15.07,2026/02/24
576,582640157478323403,15.58,2026/02/24
577,582640060433401597,14.38,2026/02/24
578,582640060433401597,13.87,2026/02/24
579,582639737748424027,15.4,2026/02/24
580,582639533788529968,15.92,2026/02/24
581,582639423062443859,15.92,2026/02/24
582,582638992850913121,15.4,2026/02/24
583,582638977694467285,15.4,2026/02/24
584,582638683221755027,44.72,2026/02/24
585,582638683221755027,15.41,2026/02/24
586,582638520934565520,16.39,2026/02/24
587,582638520934565520,16.38,2026/02/24
588,582638350287406664,15.4,2026/02/24
589,582638252813091969,17.64,2026/02/24
590,582638218267493895,15.58,2026/02/24
591,582638218267493895,15.57,2026/02/24
592,582638188237980801,15.4,2026/02/24
593,582638160784754035,15.57,2026/02/24
594,582638160784754035,15.58,2026/02/24
595,582638106336920732,15.92,2026/02/24
596,582638055616775731,15.92,2026/02/24
597,582638064147400690,15.92,2026/02/24
598,582638063285208752,15.58,2026/02/24
599,582638063285208752,15.58,2026/02/24
600,582638063285208752,15.58,2026/02/24
601,582638007364518934,15.92,2026/02/24
602,582637995212899908,15.34,2026/02/24
603,582638004767589466,15.07,2026/02/24
604,582638004767589466,15.58,2026/02/24
605,582637993384314509,15.58,2026/02/24
606,582637993384314509,15.07,2026/02/24
607,582638001822009165,15.92,2026/02/24
608,582637773364692020,15.4,2026/02/24
609,582637724115502476,17.64,2026/02/24
610,582637731281798450,15.92,2026/02/24
611,582637702850774590,15.92,2026/02/24
612,582637649847157879,15.92,2026/02/24
613,582637646844102594,17.64,2026/02/24
614,582637582978811026,15.0,2026/02/24
615,582637582978811026,15.52,2026/02/24
616,582637666552349908,15.4,2026/02/24
617,582637500520498931,15.58,2026/02/24
618,582637500520498931,15.57,2026/02/24
619,582637507759015673,15.92,2026/02/24
620,582637496170939788,15.92,2026/02/24
621,582637474625128047,15.92,2026/02/24
622,582637454621312430,30.82,2026/02/24
623,582637454621312430,15.41,2026/02/24
624,582637454621312430,15.41,2026/02/24
625,582637454621312430,15.41,2026/02/24
626,582637454621312430,30.82,2026/02/24
627,582637454621312430,15.41,2026/02/24
628,582637454621312430,15.41,2026/02/24
629,582637389271434554,15.57,2026/02/24
630,582637389271434554,15.58,2026/02/24
631,582637370842056162,15.92,2026/02/24
632,582637380270982654,15.4,2026/02/24
633,582637410756101502,15.52,2026/02/24
634,582637410756101502,15.0,2026/02/24
635,582637410756101502,15.52,2026/02/24
636,582637426003117668,14.9,2026/02/24
637,582637426003117668,15.41,2026/02/24
638,582637426003117668,15.41,2026/02/24
639,582637426003117668,15.41,2026/02/24
640,582637426003117668,15.41,2026/02/24
641,582637348696261901,15.07,2026/02/24
642,582637348696261901,15.58,2026/02/24
643,582637396285753169,15.58,2026/02/24
644,582637396285753169,15.07,2026/02/24
645,582637277679617610,15.4,2026/02/24
646,582637251495430082,15.4,2026/02/24
647,582637197879706964,30.14,2026/02/24
648,582637135515911920,15.58,2026/02/24
649,582637135515911920,15.07,2026/02/24
650,582637135515911920,15.58,2026/02/24
651,582637063434766022,15.4,2026/02/24
652,582636981759280217,15.4,2026/02/24
653,582636948491437897,15.07,2026/02/24
654,582636948491437897,15.58,2026/02/24
655,582636925342549194,-1.11,2026/02/24
656,582636925342549194,-1.08,2026/02/24
657,582636858389398534,15.58,2026/02/24
658,582636858389398534,15.07,2026/02/24
659,582636858389398534,15.58,2026/02/24
660,582636862072391190,15.92,2026/02/24
661,582635937211778771,15.61,2026/02/24
662,582635937211778771,16.12,2026/02/24
663,582635522579465916,31.86,2026/02/24
664,582635440560309339,15.58,2026/02/24
665,582635440560309339,15.57,2026/02/24
666,582635404763956268,15.4,2026/02/24
667,582635378311464457,15.41,2026/02/24
668,582635378311464457,15.41,2026/02/24
669,582635378311464457,15.41,2026/02/24
670,582635378311464457,15.41,2026/02/24
671,582635375107606298,15.58,2026/02/24
672,582635375107606298,15.57,2026/02/24
673,582635318542894858,15.52,2026/02/24
674,582635318542894858,15.0,2026/02/24
675,582635308366005268,15.4,2026/02/24
676,582634682184665075,15.4,2026/02/24
677,582633192867268316,15.58,2026/02/24
678,582633192867268316,15.07,2026/02/24
679,582633192867268316,15.58,2026/02/24
680,582631799869703472,15.88,2026/02/24
681,582630987496457629,31.86,2026/02/24
682,582629010216748934,15.92,2026/02/24
683,582626607146305370,30.66,2026/02/24
684,582623061429094331,15.88,2026/02/24
685,582623016300414209,31.86,2026/02/24
686,582622463242569276,15.88,2026/02/24
687,582622418166843312,28.56,2026/02/24
688,582621655018276670,15.88,2026/02/24
689,582621563579368666,30.51,2026/02/24
690,582621531626112729,29.21,2026/02/24
